,House member,political_party,number_of_terms,gender,university,age,ethnicity,religion,leadership_role ,previous_experience,veteran_status,rural_urban ,field_study,school_status,state,kids,degree_status,voting_privilege,,,,
HM182,"Johnny Olszewski (D, 2nd) House of Representatives",2,0,1,1,41,0,0,0,1,1,2,2,0,Maryland,2,3,1,,,,
HM183,"Sarah Elfreth (D, 3rd) House of Representatives",2,0,0,1,36,0,0,0,1,1,2,2,0,Maryland,1,3,1,,,,
HM184,"Glenn Ivey (D, 4th) House of Representatives",2,1,1,1,63,1,0,0,1,1,2,1,1,Maryland,4,3,1,,,,
HM185,"Steny Hoyer (D, 5th) House of Representatives",2,21,1,1,85,0,0,3,1,0,1,1,1,Maryland,3,3,1,,,,
HM186,"April McClain Delaney (D, 6th) House of Representatives",2,0,0,1,59,0,0,0,2,1,1,2,1,Maryland,4,3,1,,,,
HM187,"Kweisi Mfume (D, 7th) House of Representatives",2,9,1,1,75,1,0,0,1,1,1,2,0,Maryland,2,3,1,,,,
HM188,"Jamie Raskin (D, 8th)",2,5,1,1,62,0,2,0,1,1,2,1,1,Maryland,3,3,1,,,,
HM189,"Richard Neal (D, 1st) House of Representatives",2,17,1,1,75,0,0,1,1,0,1,0,0,Massachusetts,4,3,1,,,,
HM190,"James McGovern (D, 2nd) House of Representatives",2,13,1,1,65,0,0,0,1,1,2,0,0,Massachusetts,2,3,1,,,,
HM191,"Lori Trahan (D, 3rd) House of Representatives",2,3,0,1,50,0,0,0,1,1,2,2,0,Massachusetts,2,3,1,,,,
HM192,"Jake Auchincloss (D, 4th) House of Representatives",2,2,1,1,36,0,0,0,1,0,2,3,1,Massachusetts,3,3,1,,,,
HM193,"Katherine Clark (D, 5th) House of Representatives",2,6,0,1,61,0,0,3,1,1,2,1,1,Massachusetts,3,3,1,,,,
HM194,"Seth Moulton (D, 6th) House of Representatives",2,5,1,1,45,0,0,0,1,0,2,3,1,Massachusetts,2,3,1,,,,
HM195,"Ayanna Pressley (D, 7th) House of Representatives",2,3,0,1,50,1,6,0,1,1,2,1,0,Massachusetts,0,3,1,,,,
HM196,"Stephen Lynch (D, 8th) House of Representatives",2,12,1,1,69,0,0,0,1,1,1,0,0,Massachusetts,3,3,1,,,,
HM197,"William Keating (D, 9th)",2,7,1,1,72,0,0,0,1,1,1,1,0,Massachusetts,2,3,1,,,,
HM198,"Jack Bergman (R, 1st) House of Representatives",1,4,1,1,77,0,0,0,1,0,0,3,0,Michigan,3,3,1,,,,
HM199,"John Moolenaar (R, 2nd) House of Representatives",1,5,1,1,63,0,0,0,1,0,0,2,0,Michigan,4,3,1,,,,
HM200,"Hillary Scholten (D, 3rd) House of Representatives",2,2,0,1,43,0,0,0,1,1,2,1,0,Michigan,2,3,1,,,,
HM201,"Bill Huizenga (R, 4th) House of Representatives",1,7,1,1,55,0,0,1,1,0,0,2,1,Michigan,5,1,1,,,,
HM202,"Tim Walberg (R, 5th) House of Representatives",1,8,1,1,74,0,0,0,1,0,0,2,0,Michigan,2,3,1,,,,
HM203,"Debbie Dingell (D, 6th) House of Representatives",2,5,0,1,72,0,0,0,1,1,1,2,1,Michigan,0,3,1,,,,
HM204,"Tom Barrett (R, 7th) House of Representatives",1,1,1,1,43,0,0,0,1,0,0,4,0,Michigan,2,1,1,,,,
HM205,"Kristen McDonald Rivet (D, 8th) House of Representatives",2,1,0,1,52,0,0,0,1,1,1,2,0,Michigan,6,3,1,,,,
HM206,"Lisa McClain (R, 9th) House of Representatives",1,2,0,1,58,0,0,0,1,1,1,2,0,Michigan,4,1,1,,,,
HM207,"John James (R, 10th) House of Representatives",1,1,1,1,44,1,0,0,1,0,1,2,0,Michigan,3,1,1,,,,
HM208,"Haley Stevens (D, 11th) House of Representatives",2,3,0,1,41,0,2,0,1,1,2,2,0,Michigan,0,3,1,,,,
HM209,"Rashida Tlaib (D, 12th) House of Representatives",2,4,0,1,48,5,6,0,1,1,2,2,0,Michigan,2,1,1,,,,
HM210,"Shri Thanedar (D, 13th)",2,1,1,5,69,3,6,0,1,1,2,4,1,Michigan,2,3,1,,,,
HM211,"Brad Finstad (R, 1st) House of Representatives",1,2,1,1,48,0,0,0,1,1,0,2,0,Minnesota,7,1,1,,,,
HM212,"Angie Craig (D, 2nd) House of Representatives",2,4,0,1,53,0,5,0,1,1,1,2,1,Minnesota,4,1,1,,,,
HM213,"Kelly Morrison (D, 3rd) House of Representatives",2,1,0,1,56,0,0,0,1,1,1,3,1,Minnesota,3,3,1,,,,
HM214,"Betty McCollum (D, 4th) House of Representatives",2,12,0,1,70,0,0,1,1,1,2,2,0,Minnesota,2,3,1,,,,
HM215,"Ilhan Omar (D, 5th) House of Representatives",2,4,0,1,43,5,1,0,1,1,2,2,0,Minnesota,3,1,1,,,,
HM216,"Tom Emmer (R, 6th) House of Representatives",1,6,1,1,63,0,0,4,1,0,1,2,0,Minnesota,7,1,1,,,,
HM217,"Michelle Fischbach (R, 7th) House of Representatives",1,2,0,1,59,0,0,0,1,1,1,2,0,Minnesota,2,1,1,,,,
HM218,"Pete Stauber (R, 8th)",1,4,1,1,58,0,0,0,1,0,1,2,0,Minnesota,4,1,1,,,,
HM219,"Trent Kelly (R, 1st) House of Representatives",1,5,1,1,58,0,0,0,1,0,0,2,0,Mississippi,3,3,1,,,,
HM220,"Bennie Thompson (D, 2nd) House of Representatives",2,16,1,1,77,1,0,1,1,0,1,2,0,Mississippi,1,3,1,,,,
HM221,"Michael Guest (R, 3rd) House of Representatives",1,4,1,1,54,0,0,0,1,0,0,1,0,Mississippi,2,3,1,,,,
HM222,"Mike Ezell (R, 4th)",1,2,1,1,64,0,0,0,1,0,0,4,0,Mississippi,1,1,1,,,,
